StationName,Latitude,Longitude,line_name,Entertainment_Attraction,Workplace_Attraction,Health_Attraction,Education_Attraction,Other_Attraction,Entertainment_Distance(m),Workplace_Distance(m),Health_Distance(m),Education_Distance(m),Other_Distance(m),Entertainment_WalkingDuration(min),Workplace_WalkingDuration(min),Health_WalkingDuration(min),Education_WalkingDuration(min),Other_WalkingDuration(min),Entertainment_Latitude,Entertainment_Longitude,Workplace_Latitude,Workplace_Longitude,Health_Latitude,Health_Longitude,Education_Latitude,Education_Longitude,Other_Latitude,Other_Longitude,Jan.Morning,Jan.Night,Feb.Morning,Feb.Night,Mar.Morning,Mar.Night,Apr.Morning,Apr.Night,May.Morning,May.Night,Jun.Morning,Jun.Night,Jul.Morning,Jul.Night,Aug.Morning,Aug.Night,Sep.Morning,Sep.Night,Oct.Morning,Oct.Night,Nov.Morning,Nov.Night,Dec.Morning,Dec.Night,Entertainment_Walkable(yes/no),Workplace_Walkable(yes/no),Health_Walkable(yes/no),Education_Walkable(yes/no),Other_Walkable(yes/no),Avg_Temperature
Riyadh Metro Ad Dar Al Baida Station,24.56079442,46.77622548,Blue Line,Square Casablanca ALdar AlBaida,هيئة الامر بالمعروف و النهي عن المنكر,King fahad medical city walk track,مدرسة ابن تيمية الإبتدائية,Al Nahdi Supermarket,120.0,1422.944525,1471.956519,1628.344912,1346.09709,2,17,18.0,20.0,16.0,24.552151,46.777236,24.55471,46.763848,24.550812,46.785784,24.565993,46.761173,24.572114,46.780944,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
3D3 Riyadh Metro Station - Dhahrat Al Badiah,24.60738249,46.65365092,Orange Line,Jarir Bookstore (مكتبة جرير),Saudi Electricity Company,King Salman Hospital,مدارس الأقصى الأهلية,Al-Harbi Stores (أسواق الحربي المركزية),48.22036446,400.0,2000.0,717.7009661,1371.044038,1,5,28.0,9.0,16.0,24.607389,46.653174,24.617324,46.649728,24.60649972,46.64203361,24.603011,46.648428,24.597332,46.645795,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,Yes,27.9375
Riyadh Metro King Fahad Library Station,24.69123276,46.68771327,Blue Line,Al Faisaliah Tower,Head Office Bank Albilad,Elyzee Medical Center (مركز اليزي الطبي),مدارس رياض التربية الحديثة,Al Faisaliyah Tower (برج الفيصلية),230.0,1559.905509,1469.356846,122.3736969,314.9405278,4,19,18.0,1.0,4.0,24.68983,46.686708,24.67722,46.688446,24.68404,46.675513,24.690134,46.687782,24.690156,46.68483,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Station - Ad Dhabab,24.70979229,46.70758579,Green Line,King Salman Park,Nahwasharq Head Office,Renova Clinic (عيادات رينوڤا),Sulaimania school,Muscle Gym (نادي العضلة الرياضي),700.0,124.0986484,150.8430724,468.5120313,184.6554675,10,1,2.0,6.0,2.0,24.706298,46.707615,24.708677,46.707631,24.709687,46.706097,24.706945,46.704167,24.708138,46.707426,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Station - Harun Ar RasheedÂ Road,24.68788039,46.79664862,Orange Line,Half Million (هاف مليون),ASM Riyadh Office,Al Hayat Clinics (مجمع عيادات الحياة),414 Early Childhood School,Golden Dune Hotel Riyadh,160.8534862,950.7382733,304.5559871,550.0,634.2091809,2,11,4.0,8.0,8.0,24.68659,46.795929,24.683593,46.788507,24.685145,46.796802,24.689646,46.794953,24.688247,46.802913,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
3J1 & 6H2 Riyadh Metro Station - An Naseem,24.70337375,46.8282508,"Orange, purple Line",Details hall,Zajil Express Company (Head Office),Mohammed B. Naif Medical Center (مركز الأمير محمد بن نايف الطبي),مدارس الوسط الاهلية,Golden Dune Hotel Riyadh,900.0,534.3974653,2755.201613,1007.644499,3062.922972,12,6,33.0,12.0,37.0,24.701431,46.835569,24.703502,46.833539,24.711178,46.802364,24.69806,46.820171,24.688247,46.802913,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,No,27.9375
Riyadh Metro Station - An Nuzhah,24.7486496,46.71365592,Red Line,Arwana Bake House,GIG Insurance Company - Head Office,Banan Medical Center (مركز بنان الطبي),Kids Planet School (مدرسة كواكب الأطفال),Spinneys,428.9372697,440.9183606,1159.710269,1246.445218,1400.0,5,5,14.0,15.0,19.0,24.746809,46.709923,24.74736,46.709527,24.753524,46.723809,24.754491,46.724191,24.75007553,46.71511395,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Station - Al Hamra,24.77748191,46.77594448,"Red  , purble line",Alhamra gulf park,The cooperation office for call & guidance for communities at Rawdhah area,Ishbiliya Medical Center (مستوصف إشبيليا),Alebtikaria School,Golden Tulip Hotel,400.0,1006.452165,719.9703976,137.72395,1077.91246,6,12,9.0,2.0,13.0,24.779078,46.774001,24.770274,46.769915,24.778693,46.78295,24.776356,46.775376,24.770912,46.768094,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
1F8 Riyadh Metro Station - AlÂ Owd,24.62610185,46.72165469,Blue Line,Accents Boutique (أكسنتس بوتيك),وزارة الداخلية - إدارة الادلة الجنائية,My Health,مدرسة ابن خلدون المتوسطة,Ibn Nassar Cemetery,902.6375553,640.8604334,2282.645022,665.5118754,270.0,11,8,27.0,8.0,4.0,24.630388,46.714071,24.626552,46.715334,24.607995,46.732294,24.620346,46.71985,24.62561778,46.72231307,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,Yes,27.9375
1Z1-SR0(1SS1) Riyadh Metro (Amoudi's sub-station),24.7900654,46.6369969,Blue Line,Sahafah Yard (الصحافة يارد),Bank AlJazira,2Care Medical Center (مجمع توكير الطبي),Aqua-Tots Swim Schools (اكواتوتس),Burj Rafal Hotel (فندق برج رافال),19.57102636,600.0,723.8321253,1859.208768,535.3594338,0,8,9.0,22.0,6.0,24.790083,46.636804,24.77977,46.638885,24.796506,46.638038,24.801352,46.623408,24.792379,46.632346,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Station - First IndustrialÂ City,24.64784906,46.73933343,Orange Line,مخابز الصناعية,SFDA Complex Laboratories,AlGhurabi prim health care center,مدرسة المتوسطة الرابعة,ورشة الندى (الاتوماتيكية السعودية سابقا,970.1876534,800.0,1648.117018,804.9821204,1374.593851,12,11,20.0,10.0,16.0,24.639124,46.739365,24.645021,46.738072,24.645315,46.723266,24.643649,46.732846,24.635631,46.741403,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
King Saud University Station,24.71382487,46.62944847,Red Line,Alawwal Park (الأول بارك),CST (هيئة الاتصالات والفضاء والتقنية),Prince Muhammed bin Saud alkaber medical center,KSU girls campus,Xperience Spa,1808.059864,2574.52673,710.7025605,2600.0,312.2957154,22,31,9.0,35.0,4.0,24.729156,46.623484,24.736627,46.633871,24.708944,46.633991,24.72538599,46.63853246,24.711597,46.631331,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,No,Yes,27.9375
3C2 Riyadh Metro Station - Aishah bint Abi Bakr Street,24.60288618,46.64322618,Orange Line,AANI & DANI (آني وداني),وزارة التعليم العالي,King Salman Hospital,The Legendary High School,Al-Harbi Stores (أسواق الحربي المركزية),325.6193203,1734.758726,550.0,320.0961224,669.9827152,4,21,8.0,4.0,8.0,24.600043,46.642455,24.617324,46.649728,24.605959,46.640781,24.600716,46.641146,24.597332,46.645795,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
4C1 Station Fast,24.80324989,46.69551173,"Purple, yellow Line",OREGANO PIZZERIA (اوريجانو بيتزاريا),DRC Office,OxyHealth Clinics,Imam University,Holiday Gulf Hotel,392.6302411,187.5278454,2128.278287,550.0,556.8249322,5,2,26.0,8.0,7.0,24.805865,46.692898,24.804292,46.694051,24.789352,46.681015,24.800121,46.70932,24.798413,46.69694,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,Yes,27.9375
Riyadh Metro Al Muorabba Station,24.66643309,46.70154176,Blue Line,مقصف,Esnad Advisory,Specialized Medical Center (مستشفى التخصصي الطبي),روضة مدارس الرياض,Voco Hotel Riyadh (فندق فوكو),404.0084781,850.0,2061.083145,1336.053339,485.1149433,5,12,25.0,16.0,6.0,24.665804,46.697604,24.661985,46.703618,24.679763,46.687368,24.6588,46.691331,24.666652,46.696747,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,Yes,27.9375
Riyadh Metro Railway Station,24.64938479,46.7406384,Orange Line,فلافل عرفه,Riyadh Dry Port Customs,Luxury Car Clinic (عيادة السيارات الفاخرة),Imam Mohammed Bin Saud Islamic University- Malaz,ورشة طاهر,741.8724728,240.0,1802.134227,964.4057668,1678.920979,9,3,22.0,12.0,20.0,24.655299,46.744036,24.651295,46.715874,24.638877,46.754214,24.657274,46.744603,24.638915,46.752608,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
3G2 Riyadh Metro Station - Al Rajhi Grand Mosque,24.68022078,46.7794917,Orange Line,Ananasy (أناناسي),RMD Kwikform Saudi Arabia - Central Province Regional Office,Light Clinic (عيادات لايت),International Riding School (مدرسة الفروسية الدولية),Shiny nail,194.2268953,263.9661126,1891.355733,3153.731452,900.0,2,3,23.0,38.0,13.0,24.681131,46.777851,24.682564,46.779073,24.695917,46.772279,24.661639,46.755912,24.67802189,46.77728221,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,No,Yes,27.9375
2E2 Riyadh Metro Station - Al Khaleej,24.78185083,46.79392441,Red Line,Park,RMTC Site Office (Line 2),Alkhaleej Primary Health Polyclinic (مركز صحي الخليج),190 Middle School,The Four Salon & Spa,120.0,482.3096797,678.96872,558.9236278,1275.121562,2,6,8.0,7.0,15.0,24.77746,46.791787,24.778975,46.790348,24.780884,46.800565,24.781287,46.788423,24.77378,46.784952,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Station | Terminal 3 & 4,24.9559949,46.70258193,Yellow Line,Camel Step Roasters (محمصة خطوة جمل),Executive Office (المكتب التنفيذي),NaN,NaN,King Khalid International Airport-Terminal 4,361.9609338,2029.489661,NaN,NaN,1400.0,4,24,NaN,NaN,19.0,24.95577148,46.70616388,24.940704,46.713573,NaN,NaN,NaN,NaN,24.95605096,46.70562749,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,No,No,Yes,27.9375
Riyadh Metro Station | Terminal 1 & 2,24.96155833,46.6988622,Yellow Line,saudi DUTY FREE (السعودية الحرة),Executive Office (المكتب التنفيذي),NaN,King Khalid Internation Airport Schools (مدارس مطار الملك خالد الدولي),King Khalid International Airport 2,414.176296,459.4495668,NaN,4773.519129,2600.0,5,6,NaN,57.0,36.0,24.961142,46.702945,24.959797,46.702985,NaN,NaN,24.951914,46.652722,24.96126527,46.70230028,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,No,No,27.9375
1J1 Riyadh Metro Station - Al Aziziyah,24.58754306,46.76062512,Blue Line,Match perfumes,وزارة الداخلية - مكتب الوزير | مركز الاستقبال والتواصل الالكتروني,Sara oasis center (مركز واحة سارة),مدارس الهدى الاهلية,Health Club Executives Hotel (النادي الصحي بفندق التنفيذيين),500.0,475.6360221,958.0942902,392.7465021,1817.720853,7,6,11.0,5.0,22.0,24.587564,46.759861,24.591295,46.758366,24.580847,46.754662,24.589472,46.763879,24.596311,46.745452,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
3K1 Station Riyadh Metro,24.72328835,46.86109258,Orange Line,فلافل الشام,وزارة التربية والتعليم - وحدة التطوير الإداري (القسم النسائي),Khalid Medical Clinic,مدارس الحرس الوطني,Operate Car Maintenance Center,1096.954222,2524.994166,1153.774246,1478.956576,350.0,13,30,14.0,18.0,5.0,24.716683,46.853026,24.710642,46.84033,24.720971,46.849958,24.732245,46.871918,24.72496116,46.85938673,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,Yes,Yes,27.9375
Riyadh Metro Station - Transportation Center,24.60013184,46.74423471,Blue Line,Haram Plaza,الإدارة الهندسية لمشاريع وزارة الصحة، مشروع توسعة مستشفى الإيمان,My Health,مدارس آفاق المنصورة الأهلية,Executives Hotel - Azizia,300.0,614.5392213,1490.569728,615.8967018,406.1287885,5,7,18.0,7.0,5.0,24.599886,46.748415,24.602341,46.738663,24.607995,46.732294,24.605616,46.745089,24.596691,46.745582,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Manfuha station,24.61022761,46.72630868,Blue Line,كولد ستون,Al Owaidah Residential and Commercial Complex,Al Falah Hospital,Middle School No 39,Cool Travel Agency,350.6236446,350.0,1400.0,150.0,800.0,4,5,21.0,2.0,11.0,24.608816,46.72941,24.643877,46.695303,24.609944,46.728149,24.602464,46.722688,24.60992833,46.7269755,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
Riyadh Metro Al Bat'ha Station,24.63917037,46.7147258,Blue Line,Al Futah Park,Alrajhi Bank ,Safa Makkah Polyclinic,"Thabit Bin Al-Rabie School,",بنشري عين البراحه,850.0,140.0,270.0,120.0,230.0,12,2,4.0,2.0,3.0,24.631128,46.713396,24.642629,46.697153,24.643585,46.718086,24.6588,46.691331,24.64042567,46.71370894,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
